"v","r","w"
"{""id"":6585,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+S1-S3:.2"",""location"":""S1"",""terminal"":"".2"",""id"":""S1-S3:.2"",""type"":""field"",""device"":""S3""}}","{""id"":5456,""type"":""conn"",""start"":6585,""end"":0,""properties"":{""wire_number"":""39"",""color"":""GY"",""length"":""5.5 m"",""cable_type"":""5G0.75 mm""}}","{""id"":0,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.5M:19"",""location"":""K1.B1"",""terminal"":""19"",""id"":""K1.B1-X20-X20.5M:19"",""type"":""panel"",""device"":""X20-X20.5M""}}"
"{""id"":2,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.5M:20"",""location"":""K1.B1"",""terminal"":""20"",""id"":""K1.B1-X20-X20.5M:20"",""type"":""panel"",""device"":""X20-X20.5M""}}","{""id"":5459,""type"":""conn"",""start"":2,""end"":1,""properties"":{""wire_number"":""40"",""color"":""BN"",""length"":""5.5 m"",""cable_type"":""5G0.75 mm""}}","{""id"":1,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+S1-S3:.1"",""location"":""S1"",""terminal"":"".1"",""id"":""S1-S3:.1"",""type"":""field"",""device"":""S3""}}"
"{""id"":1,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+S1-S3:.1"",""location"":""S1"",""terminal"":"".1"",""id"":""S1-S3:.1"",""type"":""field"",""device"":""S3""}}","{""id"":5458,""type"":""conn"",""start"":1,""end"":2,""properties"":{""wire_number"":""40"",""color"":""BN"",""length"":""5.5 m"",""cable_type"":""5G0.75 mm""}}","{""id"":2,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.5M:20"",""location"":""K1.B1"",""terminal"":""20"",""id"":""K1.B1-X20-X20.5M:20"",""type"":""panel"",""device"":""X20-X20.5M""}}"
"{""id"":4,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.B1-X20:N"",""location"":""K1.B1"",""terminal"":""N"",""id"":""K1.B1-X20:N"",""type"":""panel"",""device"":""X20""}}","{""id"":5462,""type"":""conn"",""start"":4,""end"":3,""properties"":{""wire_number"":""46"",""color"":""BU"",""length"":""3 m"",""cable_type"":""?LFLEX? 550 P 3G0.75 mm""}}","{""id"":3,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-X1:6:5"",""location"":""K1.H2"",""terminal"":""6:5"",""id"":""K1.H2-X1:6:5"",""type"":""panel"",""device"":""X1""}}"
"{""id"":3,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-X1:6:5"",""location"":""K1.H2"",""terminal"":""6:5"",""id"":""K1.H2-X1:6:5"",""type"":""panel"",""device"":""X1""}}","{""id"":5461,""type"":""conn"",""start"":3,""end"":4,""properties"":{""wire_number"":""46"",""color"":""BU"",""length"":""3 m"",""cable_type"":""?LFLEX? 550 P 3G0.75 mm""}}","{""id"":4,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.B1-X20:N"",""location"":""K1.B1"",""terminal"":""N"",""id"":""K1.B1-X20:N"",""type"":""panel"",""device"":""X20""}}"
"{""id"":6579,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-X1:PE:1"",""location"":""K1.H2"",""terminal"":""PE:1"",""id"":""K1.H2-X1:PE:1"",""type"":""panel"",""device"":""X1""}}","{""id"":5463,""type"":""conn"",""start"":6579,""end"":5,""properties"":{""wire_number"":""48"",""color"":""GNYE"",""length"":""3 m"",""cable_type"":""?LFLEX? 550 P 3G0.75 mm""}}","{""id"":5,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.B1-X20:PE"",""location"":""K1.B1"",""terminal"":""PE"",""id"":""K1.B1-X20:PE"",""type"":""panel"",""device"":""X20""}}"
"{""id"":6579,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-X1:PE:1"",""location"":""K1.H2"",""terminal"":""PE:1"",""id"":""K1.H2-X1:PE:1"",""type"":""panel"",""device"":""X1""}}","{""id"":5465,""type"":""conn"",""start"":6579,""end"":6,""properties"":{""wire_number"":""50"",""color"":""GNYE"",""length"":""3 m"",""cable_type"":""?LFLEX? 550 P 3G0.75 mm""}}","{""id"":6,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.E1-E1:PE"",""location"":""K1.E1"",""terminal"":""PE"",""id"":""K1.E1-E1:PE"",""type"":""panel"",""device"":""E1""}}"
"{""id"":8,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.E1-E1:N"",""location"":""K1.E1"",""terminal"":""N"",""id"":""K1.E1-E1:N"",""type"":""panel"",""device"":""E1""}}","{""id"":5468,""type"":""conn"",""start"":8,""end"":7,""properties"":{""wire_number"":""51"",""color"":""BU"",""length"":""3 m"",""cable_type"":""?LFLEX? 550 P 3G0.75 mm""}}","{""id"":7,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-X1:8:5"",""location"":""K1.H2"",""terminal"":""8:5"",""id"":""K1.H2-X1:8:5"",""type"":""panel"",""device"":""X1""}}"
"{""id"":7,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-X1:8:5"",""location"":""K1.H2"",""terminal"":""8:5"",""id"":""K1.H2-X1:8:5"",""type"":""panel"",""device"":""X1""}}","{""id"":5467,""type"":""conn"",""start"":7,""end"":8,""properties"":{""wire_number"":""51"",""color"":""BU"",""length"":""3 m"",""cable_type"":""?LFLEX? 550 P 3G0.75 mm""}}","{""id"":8,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.E1-E1:N"",""location"":""K1.E1"",""terminal"":""N"",""id"":""K1.E1-E1:N"",""type"":""panel"",""device"":""E1""}}"
"{""id"":10,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H1-G2-N"",""location"":""K1.H1"",""terminal"":""N"",""id"":""K1.H1-G2-N"",""type"":""panel"",""device"":""G2-""}}","{""id"":5470,""type"":""conn"",""start"":10,""end"":9,""properties"":{""wire_number"":""57"",""color"":""OG""}}","{""id"":9,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-X1:10:5"",""location"":""K1.H2"",""terminal"":""10:5"",""id"":""K1.H2-X1:10:5"",""type"":""panel"",""device"":""X1""}}"
